@type	@id	@lat	@lon	name	brand	operator	shop	opening_hours	addr:city	addr:postcode	addr:street	website	phone
node	249162261	68.2376191	13.7461145	Spar Borg	Spar	Spar	supermarket	"Mo-Fr 08:00-21:00, Sa 09:00-18:00"					+47 76084121
node	249229474	63.2313275	10.2806593	Coop Prix Kvål	Coop Prix		supermarket	"Mo-Fr 07:00-22:00, Sa 08:00-21:00"				https://www.coop.no/butikker/coop-prix/coop-prix-kval-1815	+47 40 00 12 38
node	249229496	63.1977340	10.3001670	Coop Prix Ler	Coop Prix		supermarket	"Mo-Fr 07:00-23:00, Sa 08:00-21:00, Su 10:00-22:00"				https://www.coop.no/butikker/coop-prix/coop-prix-ler-1724	+47 72 85 17 10
node	249229561	63.0356320	10.2927560	Kiwi Støren	Kiwi		supermarket	"Mo-Fr 07:00-23:00, Sa 09:00-21:00"					+47 72431822
node	249251140	67.8811769	12.9817022	Å Dagligvarer			supermarket	Mo-Su 09:00-18:00					
node	249655010	63.1522330	10.2821210	Coop Prix Lundamo	Coop Prix		supermarket	"Mo-Fr 07:00-23:00, Sa 08:00-21:00"				https://www.coop.no/butikker/coop-prix/coop-prix-lundamo-1623	+47 72 87 84 00
node	249733267	62.6737510	11.4188680	Coop Marked Glåmos	Coop Marked		supermarket	"Mo-Fr 09:00-20:00, Sa 09:00-18:00"				https://www.coop.no/butikker/coop-marked-matkroken/coop-marked-glamos-1658	+47 94 86 73 31
node	251710249	60.1425718	11.1740993	Rema 1000 Jessheim	Rema 1000		supermarket	"Mo-Fr 08:00-21:00, Sa 09:00-19:00"					+47 63971684
node	251712180	60.1263880	11.3397360	Extra Neskollen	Extra		supermarket	Mo-Sa 07:00-23:00				https://www.coop.no/butikker/extra/extra-neskollen-2166	+47 63 90 78 98
node	252288150	60.3754826	5.4569214	Spar Lone	Spar		supermarket	"Mo-Fr 06:00-23:00, Sa 08:00-21:00"					+47 55240018
node	252866747	63.5842570	9.9612230	Extra Rissa	Extra		supermarket	"Mo-Fr 07:00-23:00, Sa 08:00-21:00"				https://www.coop.no/butikker/extra/extra-rissa-1834	+47 97 57 56 61
node	253699917	60.2289750	11.5114790	Joker Skogbygda	Joker		supermarket	"Mo-Fr 09:00-20:00, Sa 10:00-18:00"					+47 92678928
node	255113226	63.4365230	10.4242810	Bunnpris Buran	Bunnpris		supermarket	"Mo-Fr 08:00-23:00, Sa 09:00-21:00"					+47 73841390
node	255113232	63.4331130	10.4472300	Coop Prix Persaunet	Coop Prix		supermarket	"Mo-Fr 08:00-23:00, Sa 09:00-23:00"				https://www.coop.no/butikker/coop-prix/coop-prix-persaunet-4705	+47 73 91 42 42
node	255242394	63.3080110	10.1752150	Extra Buvika	Extra		supermarket	Mo-Sa 07:00-23:00				https://www.coop.no/butikker/extra/extra-buvika-1821	+47 40 00 12 44
node	255523974	63.3232480	10.0653750	Extra Børsa	Extra		supermarket	"Mo-Sa 07:00-23:00, Su 10:00-22:00"				https://www.coop.no/butikker/extra/extra-borsa-1768	+47 97 99 47 90
node	255927151	59.8484860	10.8295450	Extra Mortensrud	Extra		supermarket	Mo-Sa 07:00-23:00				https://www.coop.no/butikker/extra/extra-mortensrud-4263	+47 22 75 16 20
node	256233960	63.4667180	10.9163070	Coop Prix Stjørdal	Coop Prix		supermarket	"Mo-Fr 07:00-23:00, Sa 08:00-21:00"				https://www.coop.no/butikker/coop-prix/coop-prix-stjordal-1710	+47 40 00 12 47
node	257072502	61.8083872	9.6835845	Mysuseter fjellbutikk			convenience	Jul-Aug: Mo-Sa 10:00-17:00; Jul-Aug: Su 12:00-16:00					
node	258171007	60.3708390	5.1918050	Kiwi Godvik	Kiwi		supermarket	Mo-Sa 07:00-23:00				https://kiwi.no/	+47 55500952
node	258171008	60.3700450	5.1928870	Rema 1000 Godvik	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 55268740
node	258417885	60.3504900	5.2276920	Kiwi Hetlevikåsen	Kiwi		supermarket	Mo-Sa 07:00-23:00				https://kiwi.no/	+47 55269900
node	259723046	60.4062720	5.2195440	Rema 1000 Kleppestø	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 56156640
node	259769228	63.1051890	10.2251980	Coop Prix Hovin	Coop Prix		supermarket	"Mo-Fr 07:00-23:00, Sa 08:00-21:00"				https://www.coop.no/butikker/coop-prix/coop-prix-hovin-1601	+47 72 85 61 24
node	260303215	63.3912750	10.4207500	Bunnpris Stubban	Bunnpris		supermarket	"Mo-Fr 08:00-22:00, Sa 09:00-21:00"					+47 73966120
node	261095981	59.8761490	10.8185080	Bunnpris Lambertseter	Bunnpris		supermarket	"Mo-Fr 08:00-23:00, Sa 09:00-21:00, Su 09:00-22:00"					+47 22285519
node	261124640	59.8700450	10.8199180	Kiwi Lambertseter	Kiwi		supermarket	Mo-Sa 07:00-23:00					+47 23382070
node	261583580	59.9031590	10.8217870	Meny Bryn	Meny		supermarket	"Mo-Fr 08:00-22:00, Sa 09:00-20:00"				https://meny.no/finn-butikk/meny-bryn/	+47 22757900
node	261734292	59.8662180	10.8220300	Rema 1000 Mellombølgen	Rema 1000	NORD DAGLIGVARE AS	supermarket	Mo-Sa 07:00-23:00					+47 22742446
node	262128781	59.3119810	10.7321330	Oven handel			convenience						
node	264098039	62.8200423	8.7035338	Matkroken Todalen	Matkroken		supermarket	"Mo-Fr 09:00-18:00, Sa 09:30-16:00, Su 16:00-18:00"				https://www.coop.no/butikker/coop-marked-matkroken/matkroken-todalen-4108	+47 71 66 38 00
node	264121919	59.7173720	10.8160580	Kiwi Finstad	Kiwi		supermarket	Mo-Sa 07:00-23:00					+47 64871933
node	264768990	59.8800582	10.8040994	Kiwi Karlsrud	Kiwi		supermarket	Mo-Sa 07:00-23:00					+47 22745798
node	264768991	59.8876992	10.8056810	Rema 1000 Sandstuveien	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 22614190
node	264989425	59.9178442	10.6602529	7-Eleven Maritim	7-Eleven		convenience	24/7					
node	266039291	59.4226068	5.4448542	Meny Aksdal	Meny		supermarket	"Mo-Fr 07:00-22:00, Sa 07:00-20:00"					+47 52754949
node	266563150	59.8604650	10.8015120	Rema 1000 Sæterkrysset	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 22306600
node	266867271	60.4735560	5.3359320	Extra Nyborg	Extra		supermarket	"Mo-Sa 06:30-24:00, Su 09:00-21:00"				https://www.coop.no/butikker/extra/extra-nyborg-1451	+47 55 19 92 10
node	268660276	58.7342590	5.6477230	Kiwi Bryne torg	Kiwi		supermarket	Mo-Sa 07:00-23:00					+47 51481650
node	270588575	63.7354350	8.8333770	Extra Sistranda	Extra		supermarket	Mo-Sa 07:00-23:00				https://www.coop.no/butikker/extra/extra-sistranda-1792	+47 97 99 49 00
node	270588627	63.7056578	8.5627914	Coop Marked Nordskag	Coop Marked		supermarket	"Mo-Fr 08:00-20:00, Sa 09:00-18:00"				https://www.coop.no/butikker/coop-marked-matkroken/coop-marked-nordskag-1794	+47 97 99 49 15
node	271661028	63.0977124	9.3231479	Coop Marked Nybø	Coop Marked		supermarket	Mo-Sa 00:00-24:00				https://www.coop.no/butikker/coop-marked-matkroken/coop-marked-nybo-1656	+47 97 99 48 45
node	274116088	59.9570670	11.0364820	Obs Lillestrøm	Obs		supermarket	"Mo-Fr 07:00-23:00, Sa 08:00-21:00"				https://www.coop.no/butikker/obs/obs-lillestrom-2211	+47 63 80 55 00
node	274118898	59.9564771	11.0466454	Kiwi Lillestrøm	Kiwi		supermarket	Mo-Sa 07:00-23:00					+47 63818840
node	274594504	68.1533910	14.2016770	Joker Henningsvær	Joker		supermarket	Mo-Su 09:00-21:00					+47 76074662
node	275001693	59.9602440	11.0566280	Coop Prix Alexander Kiellands gate	Coop Prix		supermarket	"Mo-Fr 08:00-22:00, Sa 08:00-21:00"				https://www.coop.no/butikker/coop-prix/coop-prix-alexander-kiellands-gt-4539	+47 63 81 13 10
node	276822137	63.3688438	10.3950268	Coop Prix Sjetnemarka	Coop Prix		supermarket	"Mo-Fr 07:00-22:00, Sa 08:00-21:00"				https://www.coop.no/butikker/coop-prix/coop-prix-sjetnemarka-1816	+47 40 00 12 39
node	277676796	61.8910580	12.0299170	Joker Drevsjø	Joker		supermarket	"Mo-Fr 08:00-19:00, Sa 08:00-18:00, Su 12:00-16:00"					+47 62456800
node	278230956	64.0113170	11.4934598	Obs Steinkjer	Obs		supermarket	"Mo-Fr 09:00-21:00, Sa 09:00-20:00"				https://www.coop.no/butikker/obs/obs-steinkjer-2466	+47 40 00 12 29
node	278230959	64.0177760	11.5151480	Bunnpris Guldbergaunet	Bunnpris		supermarket	"Mo-Fr 08:00-22:00, Sa 08:00-21:00"					+47 74161644
node	278230960	64.0216090	11.4910330	Kiwi Nordsia	Kiwi		supermarket	Mo-Sa 07:00-23:00					+47 74140207
node	278464034	62.4715477	6.1581499	7-Eleven	7-Eleven		convenience						
node	278465245	62.4714921	6.1575476	7-Eleven Ålesund sentrum	7-Eleven		convenience	"Mo-We 07:00-24:00, Th 07:00-04:00, Fr 07:00-05:00, Sa 09:00-05:00, Su 09:00-24:00"					+47 70 13 36 21
node	278467320	62.4746749	6.1568691	Bunnpris Skansen	Bunnpris		supermarket	"Mo-Fr 08:00-20:00, Sa 10:00-18:00, Su 10:00-20:00"					+47 70131580
node	278504834	62.5451240	6.5902440	Extra Vatneeidet	Extra		supermarket	Mo-Sa 07:00-23:00				https://www.coop.no/butikker/extra/extra-vatneeidet-1505	+47 97 99 52 90
node	279008044	59.5584890	10.8451110	Spar Hobøl	Spar		supermarket	"Mo-Fr 07:00-21:00, Sa 08:00-20:00"					+47 69920220
node	279749193	63.5335089	8.3898614	Joker Kvenvær	Joker		supermarket	Mo-Su 05:00-24:00					+47 72444600
node	279754858	63.5369400	9.1387350	Bunnpris Sandstad	Bunnpris		supermarket	"Mo-Fr 07:00-21:00, Sa 08:00-20:00"					+47 72443610
node	280320236	59.7912300	10.8813070	Extra Siggerud	Extra		supermarket	"Mo-Fr 07:00-23:00, Sa 08:00-21:00"				https://www.coop.no/butikker/extra/extra-siggerud-4261	+47 64 86 87 22
node	281055748	63.0250416	8.5915831	Bæverfjord S-lag			supermarket						
node	281068778	62.4697000	6.1256000	Bunnpris Broa	Bunnpris		supermarket	"Mo-Fr 07:00-22:00, Sa 09:00-21:00"					+47 70122816
node	281804650	60.4600502	5.1513598	Meny Ravnanger	Meny		supermarket	"Mo-Fr 08:00-22:00, Sa 08:00-20:00"					+47 91895116
node	281805244	60.4280360	5.1925850	Rema 1000 Askøy	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 56143080
node	282763146	60.3763990	5.3399280	Rema 1000 Danmarksplass	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 55296500
node	282883638	62.9741290	8.7254380	Kiwi Surnadal	Kiwi		supermarket	Mo-Sa 07:00-23:00					+47 71660830
node	282901601	59.1938285	9.6261512	Spar Toppen	Spar		supermarket	"Mo-Fr 07:00-22:00, Sa 08:00-20:00"					+47 35521676
node	282922025	59.2101690	9.6209720	Kiwi Frogner Skien	Kiwi		supermarket	Mo-Sa 07:00-23:00					+47 35531185
node	283093676	60.3921130	5.3301690	Coop Prix Marken	Coop Prix		supermarket	"Mo-Fr 07:00-22:00, Sa 08:00-20:00"				https://www.coop.no/butikker/coop-prix/coop-prix-marken-4574	+47 55 31 20 24
node	283136682	59.1965650	9.6034580	Meny Klosterfoss	Meny		supermarket	"Mo-Fr 06:30-22:00, Sa 06:30-20:00"					+47 35584100
node	283476317	59.1859386	9.6138561	Meny Saga	Meny		supermarket	"Mo-Fr 06:30-22:00, Sa 07:00-20:00"					+47 35913838
node	283597920	65.8339800	13.2119430	Rema 1000 Nyrud	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 75170855
node	283602424	64.7419070	12.8438650	Matkroken Trones	Matkroken		supermarket	"Mo-Fr 09:00-19:00, Sa 10:00-19:00"				https://www.coop.no/butikker/coop-marked-matkroken/matkroken-trones-4490	+47 74 33 36 95
node	283933517	59.2006100	9.5888860	Kiwi Myren	Kiwi		supermarket	Mo-Sa 07:00-23:00					+47 40006906
node	285686388	60.2923020	5.2852530	Kiwi Sandsli	Kiwi		supermarket	Mo-Sa 07:00-23:00				https://kiwi.no/	+47 55120074
node	286491372	60.3742240	5.3322040	Matkroken Blekenberg	Matkroken		supermarket	"Mo-Fr 07:00-23:00, Sa 08:00-23:00"				https://www.coop.no/butikker/coop-marked-matkroken/matkroken-blekenberg-4386	+47 55 29 70 01
node	286502505	60.3986260	5.3243080	Extra Øvregaten	Extra		supermarket	Mo-Sa 07:00-23:00				https://www.coop.no/butikker/extra/extra-ovregaten-4947	+47 55 56 02 50
node	286502510	60.3973490	5.3113920	Kiwi Strandgaten Bergen	Kiwi		supermarket	Mo-Sa 07:00-23:00				https://kiwi.no/Finn-butikk/Kiwi-Strandgaten-Bergen/	+47 55233485
node	286549729	61.1338758	10.4528283	Kiwi Smestad	Kiwi		supermarket	Mo-Sa 07:00-23:00					+47 61253905
node	287159656	60.3771620	5.3587220	Rema 1000 Haukelandsveien	Rema 1000		supermarket	Mo-Sa 06:30-23:00				https://www.rema.no/butikker/Bergen/rema-1000-haukelandsveien/351688	+47 55200923
node	287162347	60.3870085	5.3550048	Snarkjøp Bellevuebakken	Snarkjøp	Bellevuebakken Landhandleri AS	convenience						+47 915 62 219
node	287406301	60.2975220	5.3169690	Kiwi Sørås	Kiwi		supermarket	Mo-Sa 07:00-23:00				https://kiwi.no/	+47 55131120
node	287468334	60.4282340	5.2941720	Spar Eikeviken	Spar		supermarket	"Mo-Fr 08:00-22:00, Sa 09:00-20:00"					+47 55257621
node	287468344	60.4367940	5.2864370	Extra Helleveien	Extra		supermarket	Mo-Sa 07:00-23:00				https://www.coop.no/butikker/extra/extra-helleveien-4575	+47 55 25 82 05
node	287469597	60.4382230	5.3228260	Rema 1000 Eidsvåg	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 55563280
node	287776658	60.3199600	5.3534170	Kiwi Nesttun sentrum	Kiwi		supermarket	Mo-Sa 07:00-23:00					+47 55220811
node	288622866	59.9537379	11.0449333	Snarkjøp Lillestrøm stasjon	Snarkjøp		convenience	Mo-Fr 06:00-24:00; Sa 08:00-24:00; Su 09:00-24:00					+47 403 81 725
node	289192214	58.2123060	6.5804220	Matkroken Rasvåg	Matkroken		supermarket	"Mo-Th 10:00-18:00, Fr 10:00-19:00, Sa 10:00-18:00, Su 12:00-18:00"				https://www.coop.no/butikker/coop-marked-matkroken/matkroken-rasvag-4218	+47 40 04 56 58
node	289385430	59.6130468	8.9467789	Spar Saulandtunet	Spar		supermarket	"Mo-We 07:30-21:00, Th-Fr 07:30-22:00, Sa 09:00-20:00"					+47 35023355
node	289412343	63.4128660	11.7390960	Extra Meråker	Extra		supermarket	Mo-Sa 07:00-23:00				https://www.coop.no/butikker/extra/extra-meraker-1632	+47 47 51 67 80
node	289518556	60.3413710	5.2468880	Rema 1000 Kjerreidviken	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 55268770
node	289525262	60.3351725	5.2652077	Bunnpris Varden			convenience						
node	289525263	60.3457410	5.2715830	Rema 1000 Myrholtet	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 55506330
node	289529135	60.3606870	5.3431190	Extra Minde	Extra		supermarket	"Mo-Fr 06:30-24:00, Sa 07:00-23:00"				https://www.coop.no/butikker/extra/extra-minde-4275	+47 55 20 29 90
node	289529136	60.3602260	5.3520410	Rema 1000 Wergeland	Rema 1000		supermarket	"Mo-Sa 06:00-23:00, Su 09:00-21:00"				https://www.rema.no/butikker/vestland/bergen/rema-1000-wergeland	+47 55360251
node	289531526	60.3465120	5.3521080	Meny Fantoft	Meny		supermarket	"Mo-Fr 07:00-22:00, Sa 09:00-20:00"				https://meny.no/	+47 55273200
node	290377809	60.5181894	5.2414685	Rema 1000 Frekhaug	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 56176000
node	291073606	63.3618770	10.3894490	Bunnpris Tonstad	Bunnpris		supermarket	"Mo-Fr 07:00-22:00, Sa 09:00-22:00, Su 11:00-22:00"					+47 72887992
node	292344739	59.1703120	9.6515270	Spar Borgestad	Spar		supermarket	"Mo-Fr 07:00-22:00, Sa 08:00-20:00"					+47 35509600
node	293400213	59.8559460	10.6608290	Meny Tangen	Meny		supermarket	"Mo-Fr 08:00-21:00, Sa 09:00-20:00"				https://meny.no/	+47 66965100
node	293854842	59.9559360	11.0466730	Keiser Fruktmarked			supermarket	Mo-Fr 08:00-20:00; Sa 08:00-19:00; Su 10:00-19:00				https://keiser.no/	+47 64 84 51 20
node	294168549	60.4620650	5.3295910	Kiwi Rolland	Kiwi		supermarket	Mo-Sa 07:00-23:00				https://kiwi.no/	+47 55953733
node	294170502	60.4658980	5.3127150	Coop Prix Prestestien	Coop Prix		supermarket	Mo-Sa 07:00-23:00				https://www.coop.no/butikker/coop-prix/coop-prix-prestestien-1459	+47 55 18 28 50
node	295698499	61.2040330	8.2463920	Joker Tyinkrysset	Joker		supermarket	"Mo-Sa 09:00-20:00, Su 10:00-20:00"				https://joker.no/finn-butikk/joker-tyinkrysset	+47 61367717
node	296251601	60.2574344	5.3371166	Extra Fana	Extra		supermarket	Mo-Sa 06:00-24:00				https://www.coop.no/butikker/extra/extra-fana-1462	+47 55 92 70 50
node	296499513	63.0076230	8.3574540	Coop Marked Bøfjord	Coop Marked		supermarket	"Mo 11:00-18:00, Tu-We 11:00-16:00, Th 11:00-18:00, Fr-Sa 11:00-16:00"				https://www.coop.no/butikker/coop-marked-matkroken/coop-marked-bofjord-1798	+47 71 66 28 29
node	297349537	59.2988590	4.8913900	Joker Utsira	Joker		supermarket	"Mo-Th 08:00-18:00, Fr 08:00-19:00, Sa 09:00-16:00, Su 12:00-14:00"					+47 52749220
node	299327762	59.8537600	10.8021290	Matkroken Ljabru	Matkroken		supermarket	"Mo-Fr 08:00-22:00, Sa 08:00-21:00"				https://www.coop.no/butikker/coop-marked-matkroken/matkroken-ljabru-4439	+47 22 28 91 06
node	299508269	60.3710740	5.3679860	Bunnpris Montana	Bunnpris		supermarket	"Mo-Fr 09:00-22:00, Sa 09:00-20:00"					+47 55296634
node	299612756	60.3674910	5.3668970	Bunnpris Lindvik	Bunnpris		supermarket	"Mo-Fr 09:00-22:00, Sa 09:00-20:00"					+47 55297867
node	299612922	60.3510940	5.3691860	Rema 1000 Nattland	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 55285730
node	304632879	59.2105627	9.6048993	Meny Lietorvet	Meny		supermarket	"Mo-Fr 08:00-21:00, Sa 08:00-19:00"					+47 35915660
node	305721516	63.4226190	10.1492340	Coop Marked Rye	Coop Marked		supermarket	"Mo-Fr 09:00-20:00, Sa 09:00-18:00"				https://www.coop.no/butikker/coop-marked-matkroken/coop-marked-rye-1640	+47 72 84 36 10
node	305721639	63.3556690	10.1642350	Extra Byneset	Extra		supermarket	Mo-Sa 07:00-23:00				https://www.coop.no/butikker/extra/extra-byneset-1817	+47 40 00 12 40
node	306935384	63.7335040	11.2838300	Rema 1000 Moan	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 90200611
node	306935451	63.7335892	11.2814364	Meny Magneten	Meny		supermarket	"Mo-Fr 09:00-21:00, Sa 09:00-20:00"					+47 74085800
node	306935828	63.7474700	11.2856510	Coop Prix Levangernesset	Coop Prix		supermarket	"Mo-Fr 08:00-22:00, Sa 08:00-21:00"				https://www.coop.no/butikker/coop-prix/coop-prix-levangernesset-1740	+47 47 67 61 80
